债券募集说明书名称,公告发布日,半透明小字
爱施德：2017年面向合格投资者公开发行公司债券募集说明书,2017-08-31,"深圳市爱施德股份有限公司 Shenzhen Aisidi Co., Ltd. (深圳市福田区泰然大道东泰然劲松大厦 20F) 2017年面向合格投资者 公开发行公司债券 募集说明书 主承销商 （北京市"
格林美：2017年公开发行公司债券募集说明书（面向合格投资者）,2017-08-22,股票简称：格林美 股票代码：002340.SZ 格林美股份有限公司 （住所：广东省深圳市宝安区宝安中心区兴华路南侧荣超滨海 大厦 A 栋 20 层 2008 号房） 2017 年公开发行公司债券募集说
天顺风能：2017年面向合格投资者公开发行公司债券募集说明书,2017-08-10,股票代码：002531 股票简称：天顺风能 天顺风能（苏州）股份有限公司 （江苏省太仓市经济开发区宁波东路28号） 公开发行 2017年公司债券 募集说明书 （面向合格投资者） 主承销商 （北京市朝阳
河钢股份：2018年面向合格投资者公开发行可续期公司债券募集说明书（第一期）,2018-03-28,股票简称：河钢股份 股票代码：000709 河钢股份有限公司 Hesteel Company Limited （住所：石家庄市体育南大街 385 号） 2018 年面向合格投资者公开发行可续期 公司债
18传化01：传化智联股份有限公司2018年面向合格投资者公开发行公司债券募集说明书（第一期）摘要,2018-03-16,"传化智联股份有限公司 公开发行公司债券募集说明书摘要 1 传化智联股份有限公司 TransfarZhilianCo.,Ltd. （地址：浙江省杭州市萧山经济技术开发区） 2018年面向合格投资者公开发"
18传化01：传化智联股份有限公司2018年面向合格投资者公开发行公司债券募集说明书（第一期）,2018-03-16,"传化智联股份有限公司 TransfarZhilianCo.,Ltd. （地址：浙江省杭州市萧山经济技术开发区） 2018年面向合格投资者公开发行公司债券 募集说明书（第一期） 牵头主承销商/债券受托管"
18美年01：美年大健康产业控股股份有限公司2018年面向合格投资者公开发行公司债券募集说明书（第一期）,2018-03-14,美年大健康产业控股股份有限公司 2018年面向合格投资者公开发行公司债券（第一期）募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理
新野纺织：2017年面向合格投资者公开发行公司债券募集说明书,2017-07-21,0 河南新野纺织股份有限公司 （住所：河南省新野县城关镇书院路 15 号） 2017 年面向合格投资者公开发行公司债券 募集说明书 （发行稿） 主承销商 平安证券股份有限公司 （住所：深圳市福田区金田
清新环境：2016年公司绿色债券募集说明书,2016-10-22,2016 年北京清新环境技术股份有限公司 绿色债券 募集说明书 发 行 人 北京清新环境技术股份有限公司 主承销商 天风证券股份有限公司 二〇一 年 月 2016 年北京清新环境技术股份有限公司绿色债
18恒逸R1：恒逸石化股份有限公司2018年面向合格投资者公开发行“一带一路”公司债券募集说明书,2018-03-01,恒逸石化股份有限公司公开发行公司债券募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式
凯撒旅游：2017年面向合格投资者公开发行公司债券募集说明书,2017-06-14,"股票简称：凯撒旅游 股票代码：000796.SZ 海航凯撒旅游集团股份有限公司 HNA-CAISSA TRAVEL GROUP CO.,LTD （住所：宝鸡市渭滨区经二路 155号） 2017年面向合"
18招商R1：2018年面向合格投资者公开发行“一带一路”公司债券募集说明书,2018-02-01,
17株国02：2017年公开发行公司债券募集说明书（面向合格投资者）,2017-04-26,株洲市国有资产投资控股集团有限公司公开发行公司债券募集说明书 株洲市国有资产投资控股集团有限公司 （住所：株洲市天元区黄河南路 455号） 2017年公开发行公司债券 募集说明书 （面向合格投资者） 
17株国01：2017年公开发行公司债券募集说明书（面向合格投资者）,2017-04-26,株洲市国有资产投资控股集团有限公司公开发行公司债券募集说明书 株洲市国有资产投资控股集团有限公司 （住所：株洲市天元区黄河南路 455号） 2017年公开发行公司债券 募集说明书 （面向合格投资者） 
17拓日债：《深圳市拓日新能源科技股份有限公司2017年面向合格投资者公开发行公司债券募集说明书》更正公告,2017-12-15,《深圳市拓日新能源科技股份有限公司 2017年面向合格投资者 公开发行公司债券募集说明书》更正公告 深圳市拓日新能源科技股份有限公司于 2017 年 12 月 15 日公告 了《深圳市拓日新能源科技股
17拓日债：深圳市拓日新能源科技股份有限公司2017年面向合格投资者公开发行公司债券募集说明书（更新后）,2017-12-15,深圳市拓日新能源科技股份有限公司 2017年面向合格投资者公开发行公司债券募集说明书 深圳市拓日新能源科技股份有限公司 2017年面向合格投资者公开发行公司债券募集说明书 1 声明 本募集说明书依据《
17拓日债：深圳市拓日新能源科技股份有限公司2017年面向合格投资者公开发行公司债券募集说明书（已取消）,2017-12-15,深圳市拓日新能源科技股份有限公司 2017年面向合格投资者公开发行公司债券募集说明书 深圳市拓日新能源科技股份有限公司 2017年面向合格投资者公开发行公司债券募集说明书 1 声明 本募集说明书依据《
拓日新能：《深圳市拓日新能源科技股份有限公司2017年面向合格投资者公开发行公司债券募集说明书》更正公告,2017-12-15,《深圳市拓日新能源科技股份有限公司 2017年面向合格投资者 公开发行公司债券募集说明书》更正公告 深圳市拓日新能源科技股份有限公司于 2017 年 12 月 15 日公告 了《深圳市拓日新能源科技股
湖北宜化：公开发行2016年公司债券募集说明书,2016-09-26,湖北宜化化工股份有限公司 公开发行公司债券募集说明书 证券代码：000422 证券简称：湖北宜化 公告编号：2016-045 湖北宜化化工股份有限公司 Hubei Yihua Chemical Ind
洪涛股份：公开发行可转换公司债券募集说明书,2016-07-27,"股票简称：洪涛股份 股票代码： 002325 深圳市洪涛装饰股份有限公司 SHENZHEN HONGTAO DECORATION CO.,LTD. （广东省深圳市罗湖区泥岗西洪涛路 17 号） 公开发"
第一创业：2016年面向合格投资者公开发行公司债券募集说明书（第三期）,2016-12-09,"第一创业证券股份有限公司 First Capital Securities Co., Ltd. (广东省深圳市福田区福华一路 115 号投行大厦 20 楼) 2016 年面向合格投资者公开发行公司债券"
国盛金控：2016年公开发行公司债券募集说明书（面向合格投资者）,2016-11-30,股票简称：国盛金控 股票代码：002670 广东国盛金控集团股份有限公司 （住所：佛山市顺德区容桂街道华口昌宝东路 13号） 2016 年公开发行公司债券募集说明书 （面向合格投资者） 主承销商 国盛
国盛金控：2016年公开发行公司债券募集说明书（面向合格投资者）,2016-11-29,股票简称：国盛金控 股票代码：002670 广东国盛金控集团股份有限公司 （住所：佛山市顺德区容桂街道华口昌宝东路 13号） 2016 年公开发行公司债券募集说明书 （面向合格投资者） 主承销商 国盛
第一创业：2016年面向合格投资者公开发行公司债券募集说明书（第二期）,2016-11-25,"第一创业证券股份有限公司 First Capital Securities Co., Ltd. (广东省深圳市福田区福华一路 115 号投行大厦 20 楼) 2016 年面向合格投资者公开发行公司债券"
天顺风能：公开发行2016年公司债券募集说明书,2016-06-20,股票代码：002531 股票简称：天顺风能 天顺风能（苏州）股份有限公司 （江苏省太仓市经济开发区宁波东路28号） 公开发行 2016年公司债券 募集说明书 （面向合格投资者） 主承销商 （北京市朝阳
珠海港：2016年面向合格投资者公开发行公司债券募集说明书,2016-11-18,珠海港股份有限公司 2016 年面向合格投资者公开发行公司债券募集说明书 珠海港股份有限公司 2016 年面向合格投资者公开发行公司债券募集说明书 1-1 声 明 本募集说明书依据《中华人民共和国公司
海印股份：公开发行可转换公司债券募集说明书,2016-06-06,1-1-1 股票简称：海印股份 股票代码：000861 广东海印集团股份有限公司 （注册地址：广东省广州市越秀区东华南路 98号 21-32 层） 公开发行可转换公司债券 募集说明书 保荐机构（主承销
海普瑞：2016年面向合格投资者公开发行公司债券募集说明书,2016-11-04,深圳市海普瑞药业股份有限公司 2016 年面向合格投资者公开发行公司债券 募集说明书 深圳市海普瑞药业股份有限公司 2016 年面向合格投资者公开发行公司债券 募集说明书 1 发行人声明 本募集说明书
16裕同01：2016年面向合格投资者公开发行公司债券募集说明书（第一期）,2016-10-31,"深圳市裕同包装科技股份有限公司 ShenZhen YUTO Packaging Technology Co., Ltd. （深圳市宝安区石岩街道水田社区石环路 1号） 深圳市裕同包装科技股份有限公司面"
格林美：2016年格林美股份有限公司绿色公司债券募集说明书,2016-10-22,2016年格林美股份有限公司绿色公司债券集说明书 I 重要声明及提示 一、发行人董事会声明 发行人董事会或股东大会已批准本期债券募集说明书及其摘要， 发行人全体董事承诺其中不存在虚假记载、误导性陈述或
