债券募集说明书名称,公告发布日,半透明小字
中山城市建设集团有限公司公开发行2016年公司债券募集说明书摘要,2016-06-03,中山城市建设集团有限公司 公开发行 2015年公司债券募集说明书 2016 6 3 中山城市建设
中国光大集团股份公司2016年公开发行公司债券募集说明书（第二期）,2016-06-03,中国光大集团股份公司 2016 年公开发行公司债券 募集说明书 （面向合格投资者） （第二
中国光大集团股份公司2016年公开发行公司债券募集说明书摘要（第二期）,2016-06-03,中国光大集团股份公司 2016 年公开发行公司债券 募集说明书摘要 （面向合格投资者） （
中山城市建设集团有限公司公开发行2016年公司债券募集说明书,2016-06-03,中山城市建设集团有限公司 公开发行 2016年公司债券募集说明书 1-1-0 2016 6 3 中山城
2016年宿州市城市建设投资集团（控股）有限公司公司债券募集说明书,2016-06-03,2016年宿州市城市建设投资集团（控股）有限公司 公司债券募集说明书 发行人 宿州市城市
2016年青岛海西城市投资有限公司公司债券募集说明书,2016-06-03,2016年青岛海西城市投资有限公司公司债券募集说明书 2 声明及提示 一、发行人董事会声
长园集团公开发行2016年公司债券募集说明书摘要（第二期）（面向合格投资者）,2016-06-02,
长园集团公开发行2016年公司债券募集说明书（第二期）（面向合格投资者）,2016-06-02,
中化国际公开发行2016年公司债券募集说明书摘要（面向合格投资者）,2016-06-02,
中化国际公开发行2016年公司债券募集说明书（面向合格投资者）,2016-06-02,
中化国际（控股）股份有限公司公开发行2016年公司债券募集说明书,2016-06-02,中化国际（控股）股份有限公司公开发行 2016 年公司债券 募集说明书 1-1-1 发行人声明
中化国际（控股）股份有限公司公开发行2016年公司债券募集说明书摘要,2016-06-02,中化国际（控股）股份有限公司公开发行 2016年公司债券募集说明书摘要 1-1-1 发行人声
2016年泸州兴阳投资集团有限公司公司债券募集说明书,2016-06-01,2016年泸州兴阳投资集团有限公司公司债券募集说明书 I 声明及提示 一、发行人声明 发行
2016年天津广成投资集团有限公司公司债券募集说明书,2016-06-01,募集说明书 I 声明及提示 一、发行人声明 发行人董事会已批准本期债券募集说明书及其摘
2016年黄石磁湖高新科技发展公司企业债券债券募集说明书摘要,2016-05-31,2016 年黄石磁湖高新科技发展公司企业债券募集说明书摘要 重要声明及提示 一、发行人董
上海市漕河泾新兴技术开发区发展总公司2016年公开发行公司债券募集说明书摘要,2016-05-31,上海市漕河泾新兴技术开发区发展总公司 2016 年公开发行公司债券募集说明书摘要 2 发行
2016年黄石磁湖高新科技发展公司企业债券债券募集说明书,2016-05-31,重要声明及提示 一、发行人董事会声明 发行人董事会已批准本期债券募集说明书及其摘要
2016年黄石磁湖高新科技发展公司企业债券债券募集说明书,2016-05-31,重要声明及提示 一、发行人董事会声明 发行人董事会已批准本期债券募集说明书及其摘要
2016年黄石磁湖高新科技发展公司企业债券债券募集说明书摘要,2016-05-31,2016 年黄石磁湖高新科技发展公司企业债券募集说明书摘要 重要声明及提示 一、发行人董
上海市漕河泾新兴技术开发区发展总公司2016年公开发行公司债券募集说明书,2016-05-31,上海市漕河泾新兴技术开发区发展总公司 2016 年公开发行公司债券募集说明书 1 声明 本
2016年河北建设投资集团有限责任公司可续期公司债券募集说明书摘要,2016-05-31,2016年河北建设投资集团有限责任公司可续期公司债券募集说明书摘要 2 声明及提示一、发
2016年河北建设投资集团有限责任公司可续期公司债券募集说明书,2016-05-31,2016 年河北建设投资集团有限责任公司可续期公司债券募集说明书 2 声明及提示一、发行
2016年陕西省西咸新区空港新城开发建设集团有限公司公司债券募集说明书,2016-05-30,2016年陕西省西咸新区空港新城开发建设 集团有限公司公司债券募集说明书 发行人 陕西省
2016年陕西省西咸新区空港新城开发建设集团有限公司公司债券募集说明书摘要,2016-05-30,2016年陕西省西咸新区空港新城开发建设 集团有限公司公司债券募集说明书摘要 发行人 陕
2016年宜城市建设投资经营有限公司公司债券募集说明书,2016-05-30,2016 年宜城市建设投资经营有限公司 公司债券募集说明书 发行人 宜城市建设投资经营有
中国银河证券股份有限公司公开发行2016年公司债券募集说明书（发行稿）,2016-05-30,2 声明 本募集说明书遵循《中华人民共和国公司法》、《中华人民共和国证券法》、 《公
中国银河证券股份有限公司公开发行2016年公司债券募集说明书摘要（发行稿）,2016-05-30,声明 本募集说明书摘要的目的仅为向投资者提供有关本次发行的简要情况，并不 包括募集
中国银河证券股份有限公司公开发行2016年公司债券募集说明书摘要（发行稿）,2016-05-30,声明 本募集说明书摘要的目的仅为向投资者提供有关本次发行的简要情况，并不 包括募集
中国银河证券股份有限公司公开发行2016年公司债券募集说明书（发行稿）,2016-05-30,2 声明 本募集说明书遵循《中华人民共和国公司法》、《中华人民共和国证券法》、 《公
2016年福州高新区投资控股有限公司公司债券募集说明书,2016-05-30,2016 年福州高新区投资控股有限公司公司债券募集说明书 1 声明及提示 一、发行人董事会
2016年襄阳市襄州区建设投资经营有限公司公司债券募集说明书,2016-05-27,2016 年襄阳市襄州区建设投资经营有限公司公司债券募集说明书 I 2016 年襄阳市襄州区建
2016年聊城市安泰城乡投资开发有限责任公司公司债券募集说明书,2016-05-25,���� ᒪ㚀คᐸᆿ⌦คҗᣋ䍺ᔶਇᴿ䲆䍙Ա
2016年聊城市安泰城乡投资开发有限责任公司公司债券募集说明书,2016-05-25,���� ᒪ㚀คᐸᆿ⌦คҗᣋ䍺ᔶਇᴿ䲆䍙Ա
苏州市吴江交通投资集团有限公司公开发行2016年公司债券募集说明书摘要,2016-05-24,苏州市吴江交通投资集团有限公司公开发行 2016年公司债券募集说明书（面向合格投资者）
苏州市吴江交通投资集团有限公司公开发行2016年公司债券募集说明书,2016-05-24,苏州市吴江交通投资集团有限公司公开发行 2016 年公司债券募集说明书（面向合格投资者
2016年内江人和国有资产经营有限责任公司公司债券募集说明书,2016-05-24,2016 年内江人和国有资产经营有限责任公司 公司债券募集说明书 发行人 内江人和国有资
2016年秀山工业发展投资有限公司公司债券募集说明书,2016-05-24,2016 年秀山工业发展投资有限公司公司债券募集说明书 I 2016 年秀山工业发展投资有限公
2016年洛阳市新区建设投资有限责任公司公司债券募集说明书,2016-05-24,2016 年洛阳市新区建设投资有限责任公司 公司债券募集说明书 主承销商 i1__&#39;&quot;\ 东海证
2016年威海市文登区城市资产经营有限公司公司债券募集说明书摘要,2016-05-23,2016 年威海市文登区城市资产经营有限公司 公司债券募集说明书摘要 发行人 威海市文登
2016年威海市文登区城市资产经营有限公司公司债券募集说明书,2016-05-23,2016年威海市文登区城市资产经营有限公司 公司债券募集说明书 发行人 威海市文登区城市
智慧能源公开发行公司债券募集说明书（第二期）,2016-05-20,
智慧能源公开发行公司债券募集说明书摘要（第二期）,2016-05-20,
远洲集团股份有限公司2016年公开发行公司债券（第一期）债券募集说明书摘要,2016-05-20,远洲集团股份有限公司 公开发行2016年公司债券（第一期） 募集说明书摘要 （面向合格投
远洲集团股份有限公司2016年公开发行公司债券（第一期）债券募集说明书,2016-05-20,远洲集团股份有限公司 公开发行2016年公司债券（第一期）募集说明书 （面向合格投资者
国盛证券有限责任公司公开发行2016年公司债券募集说明书摘要,2016-05-20,国盛证券有限责任公司 （住所：江西省南昌市西湖区北京西路 88号-江信国际金融大厦）
国盛证券有限责任公司公开发行2016年公司债券募集说明书,2016-05-20,国盛证券有限责任公司 （住所：江西省南昌市西湖区北京西路 88号-江信国际金融大厦）
2016年萍乡市昌兴投资有限公司公司债券募集说明书,2016-05-20,2016 年萍乡市昌兴投资有限公司公司债券募集说明书 声明及提示 一、 发行人声明 发行人
2016年九江市庐山区城投（集团）有限公司公司债券募集说明书,2016-05-19,"庐 LLJ区域 投 L● l,△●▲ &quot;:&quot;r【●=&quot;〓&quot;t ⒛⒗年九江市庐山区城投 (集团)有限公司"
2016年淮安红日交通投资发展总公司企业债券募集说明书,2016-05-19,2016年淮安红日交通投资发展总公司企业债券募集说明书 1 声明及提示 一、 发行人声明
2016年亳州宜居投资有限公司公司债券募集说明书,2016-05-19,/). ŶƐ¡0çГΞȺ 1 � /). ŶƐ¡0çГΞȺ 2 ŒȺă
2016年四川阆中名城经营投资有限公司公司债券募集说明书,2016-05-19,2016 年四川阆中名城经营投资有限公司公司债券募集说明书 声明及提示 一、发行人董事会
2016年仙桃市城市建设投资开发公司公司债券募集说明书,2016-05-18,2016年仙桃市城市建设投资开发公司 公司债券募集说明书 发行人 仙桃市城市建设投资开发
2016年天津渤海国有资产经营管理有限公司公司债券募集说明书,2016-05-18,募集说明书 I 声明及提示 一、发行人声明 发行人董事会已批准本期债券募集说明书及其摘
2016年眉山市宏大建设投资有限责任公司公司债券募集说明书,2016-05-18,2016 年眉山市宏大建设投资有限责任公司 公司债券募集说明书 发行人 眉山市宏大建设投
2016年天津渤海国有资产经营管理有限公司公司债券募集说明书,2016-05-18,募集说明书 I 声明及提示 一、发行人声明 发行人董事会已批准本期债券募集说明书及其摘
2016年天津宁河投资控股有限公司公司债券募集说明书,2016-05-18,2016 年天津宁河投资控股有限公司公司债券募集说明书 I 声明及提示 一、发行人声明 发
新湖中宝公开发行2016年公司债券募集说明书摘要（面向合格投资者）,2016-05-17,1-2-2 声 明 ᵜ募集说明书摘要的目的仅Ѫ向投资者提供ᴹޣᵜ次发行的简要情
新湖中宝公开发行2016年公司债券募集说明书（面向合格投资者）,2016-05-17,新湖中ᇍ股份ᴹ限ޜਨޜ开发行 2016 ᒤޜਨ债券募集说明书 1 声 明 ࠑ
永泰能源公开发行2016年公司债券募集说明书摘要（第二期）（面向合格投资者）,2016-05-17,"永泰能源股份有限公司 WINTIME ENERGY CO .,LTD （山西省灵石县翠峰镇新建街南 110号）"
永泰能源公开发行2016年公司债券募集说明书（第二期）（面向合格投资者）,2016-05-17,"永泰能源股份有限公司 WINTIME ENERGY CO .,LTD （山西省灵石县翠峰镇新建街南 110号）"
2015年耒阳市国有资产投资经营有限公司专项债券募集说明书,2016-05-17,2015年耒阳市国有资产投资经营有限公司专项债券募集说明书 - 1 - 声明及提示 一、发行
新湖中宝股份有限公司公开发行2016年公司债券募集说明书摘要,2016-05-17,1-2-2 声 明 ᵜ募集说明书摘要的目的仅Ѫ向投资者提供ᴹޣᵜ次发行的简要情
宁夏晟晏实业集团有限公司2016年公开发行公司债券募集说明书摘要（面向合格投资者）,2016-05-17,宁夏晟晏实业集团有限公司 2016年公开发行公司债券 募集说明书摘要 （面向合格投资者）
新湖中宝股份有限公司公开发行2016年公司债券募集说明书,2016-05-17,新湖中ᇍ股份ᴹ限ޜਨޜ开发行 2016 ᒤޜਨ债券募集说明书 1 声 明 ࠑ
宁夏晟晏实业集团有限公司2016年公开发行公司债券募集说明书（面向合格投资者）,2016-05-17,宁夏晟晏实业集团有限公司 2016年公开发行公司债券 募集说明书 （面向合格投资者） 发
新湖中宝股份有限公司公开发行2016年公司债券募集说明书摘要,2016-05-17,1-2-2 声 明 ᵜ募集说明书摘要的目的仅Ѫ向投资者提供ᴹޣᵜ次发行的简要情
新湖中宝股份有限公司公开发行2016年公司债券募集说明书,2016-05-17,新湖中ᇍ股份ᴹ限ޜਨޜ开发行 2016 ᒤޜਨ债券募集说明书 1 声 明 ࠑ
2012年春和集团有限公司公司债券募集说明书,2016-05-13,2012年春和集团有限公司公司债券募集说明书 声明及提示 一、发行人董事会声明 发行人董
2016年泸州市纳溪区国有资产经营有限公司公司债券募集说明书,2016-05-13,2016年泸州市纳溪区国有资产经营有限公司公司债券募集说明书 1 声明及提示 一、发行人
2016年启东国有资产投资控股有限公司公司债券募集说明书,2016-05-13,重要提示：本募集说明书的全部内容遵循《中华人民共和国证券法》、《企业债券管理条例
2016年杭州萧山钱江世纪城开发建设有限责任公司公司债券募集说明书,2016-05-12,2016年杭州萧山钱江世纪城开发建设有限责任公司公司债券募集说明书 1 声明及提示 一、
2016年第一期山西晋城无烟煤矿业集团有限责任公司公司债券募集说明书,2016-05-10,山西晋城无烟煤矿业集团有限责任公司 公司债券募集说明书 1 声明及提示 一、发行人声明
南京江宁水务集团有限公司公开发行2016年公司债券募集说明书,2016-05-10,南京江宁水务集团有限公司 （住所：南京市江宁经济技术开发区高湖路 88号） 公开发行
南京江宁水务集团有限公司公开发行2016年公司债券募集说明书摘要,2016-05-10,南京江宁水务集团有限公司 （住所：南京市江宁经济技术开发区高湖路 88 号） 公开发行
2016年海安县开发区经济技术开发总公司企业债券募集说明书,2016-05-09,2016年海安县开发区经济技术开发总公司企业债券募集说明书 I 声明及提示 一、发行人董
2016年成都花园水城城乡建设投资有限责任公司公司债券募集说明书,2016-05-06,1 声明及提示 一、发行人声明 发行人已批准本期债券募集说明书及其摘要，承诺其中不存
2016年德兴市城市建设经营总公司企业债券募集说明书,2016-05-05,2016年德兴市城市建设经营总公司企业债券 募集说明书 声明及提示 一、 发行人总经理办
2016年长乐市国有资产营运公司企业债券募集说明书,2016-05-04,2016年长乐市国有资产营运公司企业债券募集说明书 1 声明及提示 一、发行人声明 发行人
浙江金汇五金产业有限公司公开发行公司债券募集说明书摘要（面向合格投资者）,2016-05-04,浙江金汇五金产业有限公司 （住所：浙江省永康市九铃东路 3011 号） 公开发行公司债券
浙江金汇五金产业有限公司公开发行公司债券募集说明书（面向合格投资者）,2016-05-04,浙江金汇五金产业有限公司 （住所：浙江省永康市九铃东路 3011 号） 公开发行公司债券
2016年启东江海交通发展有限公司公司债券募集说明书,2016-05-03,0 声明及提示 一、发行人执行董事声明 发行人执行董事已批准本期债券募集说明书及其摘
2016年淮安市淮安区城市资产经营有限公司公司债券募集说明书摘要（以此版本为准）,2016-04-29,2016年淮安市淮安区城市资产经营有限 公司公司债券募集说明书摘要 发行人 淮安市淮安区
2016年淮安市淮安区城市资产经营有限公司公司债券募集说明书及其摘要更正公告,2016-04-29,2016年淮安市淮安区城市资产经营有限公司公司债券 募集说明书及其摘要更正公告 我公司
2016年淮安市淮安区城市资产经营有限公司公司债券募集说明书（以此版本为准）,2016-04-29,2016 年淮安市淮安区城市资产经营有限 公司公司债券募集说明书 发行人 淮安市淮安区城
2016年浙江瓯海城市建设投资有限公司城市停车场建设专项债券募集说明书,2016-04-29,2016 年浙江瓯海城市建设投资有限公司城市停车场建设专项债券募集说明书 I 声明及提示
武汉商贸国有控股集团有限公司公开发行2016年度公司债券募集说明书,2016-04-27,武汉商贸国有控股集团有限公司 公开发行 2016 年公司债券募集说明书 1-1-2 声明 本募集
武汉商贸国有控股集团有限公司公开发行2016年度公司债券募集说明书摘要,2016-04-27,武汉商贸国有控股集团有限公司 公开发行 2016 年公司债券募集说明书摘要 声明 本募集说
2016年重庆市璧山区城市建设投资有限公司公司债券募集说明书,2016-04-27,+1 ~ ~&quot; I I h- I 0 ~ l-tt I ~ &#39;m J ~)l~ &quot;&quot;&#39;&gt;~ ;:ID E 1ft III JM ~ -c: :::J~ XI I...
2016年重庆宏安投资（集团）有限公司公司债券募集说明书,2016-04-26,声明及提示 一、发行人董事会声明 发行人已批准本募集说明书及其摘要，承诺其中不存在
绵阳市投资控股（集团）有限公司公开发行2016年公司债券募集说明书摘要,2016-04-25,绵阳市投资控股（集团）有限公司 公开发行 2016 年公司债券募集说明书（摘要） 第 0 页
2016年第一期广州地铁集团有限公司城市停车场建设专项债券募集说明书,2016-04-25,2016年第一期广州地铁集团有限公司 城市停车场建设专项债券募集说明书 发行人 广州地铁
绵阳市投资控股（集团）有限公司公开发行2016年公司债券募集说明书,2016-04-25,绵阳市投资控股（集团）有限公司 公开发行 2015 年公司债券募集说明书（申报稿） 绵阳
华建国际实业（深圳）有限公司公开发行2016年公司债券募集说明书摘要,2016-04-25,华建国际实业（深圳）有限公司公开发行 2016年公司债券募集说明书摘要 1 声明 本募集说
2016年上饶市国有资产经营有限责任公司公司债券募集说明书,2016-04-25,2016 年上饶市国有资产经营有限责任公司公司债券募集说明书 I 声明及提示 一、发行人董
华建国际实业（深圳）有限公司公开发行2016年公司债券募集说明书,2016-04-25,华建国际实业（深圳）有限公司 公开发行公司债券募集说明书 1 声明 本募集说明书及其摘
2016年重庆开乾投资（集团）有限公司城市停车场建设专项债券募集说明书摘要,2016-04-22,2016年重庆开乾投资（集团）有限公司 城市停车场建设专项债券 募集说明书摘要 发行人
华融融德资产管理有限公司2016年公开发行公司债券募集说明书摘要,2016-04-22,1 华融融德资产管理有限公司 HUARONG RONGDE ASSET MANAGEMENT Co. Ltd 北京市西城区武
2016年苏州高新区北部新城城市建设投资发展有限公司公司债券募集说明书,2016-04-22,二〇一六年三月 2016年苏州高新区北部新城城市建设投资发展有限公司公司债券募集说明书
华融融德资产管理有限公司2016年公开发行公司债券募集说明书,2016-04-22,1 华融融德资产管理有限公司 HUARONG RONGDE ASSET MANAGEMENT Co. Ltd 北京市西城区武
2016年重庆开乾投资（集团）有限公司城市停车场建设专项债券募集说明书,2016-04-22,2016 年重庆开乾投资（集团）有限公司城市停车场建设专项债券募集说明书 2 声明及提示
2016年肥城市城市资产经营有限公司公司债券募集说明书,2016-04-22,2016年肥城市城市资产经营有限公司公司债券募集说明书 I 声明及提示 一、发行人董事会
2016年淮安市淮安区城市资产经营有限公司公司债券募集说明书,2016-04-21,2016 年淮安市淮安区城市资产经营有限 公司公司债券募集说明书 发行人 淮安市淮安区城
2016年淮安市淮安区城市资产经营有限公司公司债券募集说明书摘要,2016-04-21,2016年淮安市淮安区城市资产经营有限 公司公司债券募集说明书摘要 发行人 淮安市淮安区
2016年滁州市同创建设投资有限责任公司小微企业增信集合债券募集说明书,2016-04-21,2016 年滁州市同创建设投资有限责任公司小微企业增信集合债券募集说明书 1 声明及提示
人福医药公开发行2016年公司债券募集说明书摘要（面向合格投资者）,2016-04-20,
人福医药公开发行2016年公司债券募集说明书（面向合格投资者）,2016-04-20,
2016年乌兰察布市集宁区国融投资发展有限公司公司债券募集说明书,2016-04-20,2016 年乌兰察布市集宁区国融投资发展有限公司公司债券募集说明书 I 声明及提示 一、发
人福医药集团股份公司公开发行2016年公司债券募集说明书,2016-04-20,人福医药集团股份公司公开发行 2016 年公司债券募集说明书 1-1-1 重要声明 本募集说明
人福医药集团股份公司公开发行2016年公司债券募集说明书摘要,2016-04-20,人福医药集团股份公司公开发行 2016 年公司债券募集说明书摘要 1-2-1 声 明 本募集说明
2016年杭州西湖投资有限公司公司债券募集说明书摘要,2016-04-19,2016年杭州西湖投资有限公司公司债券募集说明书摘要 1 重要声明及提示 一、发行人董事
常德财鑫投融资担保集团有限公司公开发行2016年公司债券募集说明书摘要,2016-04-19,常德财鑫投融资担保集团有限公司公开发行公司债券募集说明书摘要 常德财鑫投融资担保集
2016年长乐市国有资产营运公司企业债券募集说明书,2016-04-19,2016年长乐市国有资产营运公司企业债券募集说明书 1 声明及提示 一、发行人声明 发行人
2016年杭州西湖投资有限公司公司债券募集说明书,2016-04-19,2016 年杭州西湖投资有限公司公司债券募集说明书 1 重要声明及提示 一、发行人董事会声
常德财鑫投融资担保集团有限公司公开发行2016年公司债券募集说明书,2016-04-19,mabux打字机文本 2016 3 3 mabux打字机文本 1 发行人声明 本募集说明书依据《中华人民
2016年文登经济开发区地下综合管廊建设工程项目专项债券募集说明书,2016-04-19,2016 年文登经济开发区地下综合管廊建设工程项目 专项债券募集说明书 i 声明及提示 一
2016年温州港城发展有限公司公司债券募集说明书摘要,2016-04-18,2016年温州港城发展有限公司公司债券募集说明书摘要 3 声明及提示 一、 发行人声明 发
2015年阳江市恒财城市投资控股有限公司公司债券募集说明书,2016-04-18,2015年阳江市恒财城市投资控股有限公司公司债券募集说明书 声明及提示 一、发行人声明
2016年聊城市兴业经济开发有限公司公司债券募集说明书,2016-04-18,2016聊城市兴业经济开发有限公司公司债券募集说明书 1 声明及提示 一、发行人声明 发行
2016年温州港城发展有限公司公司债券募集说明书,2016-04-18,2016年温州港城发展有限公司公司债券募集说明书 2 声明及提示 一、 发行人声明 发行人
2016年岳阳市城市建设投资有限公司城市地下综合管廊建设专项债券募集说明书,2016-04-18,2016年岳阳市城市建设投资有限公司 城市地下综合管廊建设专项债券 募集说明书 发行人
2016年聊城市兴业经济开发有限公司公司债券募集说明书摘要,2016-04-18,2016聊城市兴业经济开发有限公司公司债券募集说明书摘要 1 声明及提示 一、发行人声明
湖南财信投资控股有限责任公司公开发行2016年公司债券募集说明书,2016-04-15,1 湖南财信投资控股有限责任公司公开发行 2016年公司债券募集说明书 1 声 明 本募集说
湖南财信投资控股有限责任公司公开发行2016年公司债券募集说明书摘要,2016-04-15,湖南财信投资控股有限责任公司公开发行 2016年公司债券募集说明书摘要 1 湖南财信投资
2016年北京市朝阳区国有资本经营管理中心企业债券募集说明书,2016-04-15,2016 年北京市朝阳区国有资本经营管理中心 企业债券募集说明书 发行人 北京市朝阳区国
2016年吉安市井冈山开发区金庐陵经济发展有限公司公司债券募集说明书,2016-04-15,吉安市井冈山开发区金庐陵经济发展有限公司 “16井开债”募集说明书 声明及提示 一、发
安徽九华山旅游（集团）有限公司公开发行2016年公司债券募集说明书,2016-04-14,"安徽九华山旅游(集团)有限公司 JIUHUASHAN TOURISM GROUP CO.,LTD. 住所：安徽省池州市"
安徽九华山旅游（集团）有限公司公开发行2016年公司债券募集说明书摘要,2016-04-14,"安徽九华山旅游(集团)有限公司 JIUHUASHAN TOURISM GROUP CO.,LTD. 住所：安徽省池州市"
2016年重庆迈瑞城市建设投资有限责任公司专项债券募集说明书,2016-04-14,2016 年重庆迈瑞城市建设投资有限责任公司 专项债券募集说明书 发行人 主承销商、簿记
精工控股集团有限公司公开发行2016年公司债券募集说明书摘要,2016-04-13,1-2-1 精工控股集团有限公司 JINGGONG HOLDING GROUP （柯桥街道鉴湖路（柯西开发区）
精工控股集团有限公司公开发行2016年公司债券募集说明书,2016-04-13,精工控股集团有限公司 募集说明书 1-1-2 发行人声明 本募集说明书及其摘要依据《中华人
2016年第一期重庆两江新区开发投资集团有限公司专项债券募集说明书,2016-04-12,2016年第一期重庆两江新区开发投资集团有限公司专项债券募集说明书 1 2016 4 2016年第
2016年第一期广州港集团有限公司城市停车场建设专项债券募集说明书,2016-04-12,2016年第一期广州港集团有限公司 城市停车场建设专项债券募集说明书 发行人 主承销商
山鹰纸业公开发行公司债券募集说明书摘要（面向合格投资者）,2016-04-11,
山鹰纸业公开发行公司债券募集说明书（面向合格投资者）,2016-04-11,
安徽山鹰纸业股份有限公司2016年公司债券募集说明书摘要,2016-04-11,安徽山鹰纸业股份有限公司公开发行公司债券募集说明书摘要 2 发行人声明 本募集说明书
安徽山鹰纸业股份有限公司2016年公司债券募集说明书,2016-04-11,安徽山鹰纸业股份有限公司 安徽山鹰纸业股份有限公司公开发行公司债券募集说明书 2 发
2016年龙岩市铁路建设开发有限公司公司债券募集说明书,2016-04-11,2016 年龙岩市铁路建设开发有限公司公司债券募集说明书 1 声明及提示 一、发行人董事会
2016年阿克苏地区绿色实业开发有限公司公司债券募集说明书,2016-04-11,1 2016 年阿克苏地区绿色实业开发有限公司 公司债券募集说明书 发行人 阿克苏地区绿色
宁波经济技术开发区控股有限公司公开发行2016年公司债券募集说明书（面向合格投资者）,2016-04-11,宁波经济技术开发区控股有限公司公开发行 2016 年公司债券 募集说明书 1 声明 本募集说
宁波经济技术开发区控股有限公司公开发行2016年公司债券募集说明书摘要（面向合格投资者）,2016-04-11,宁波经济技术开发区控股有限公司公开发行 2016 年公司债券 募集说明书摘要 1 声明 本募
2016年邵阳都梁投资发展有限公司养老产业和城市停车场建设专项债券募集说明书,2016-04-08,2016年邵阳都梁投资发展有限公司养老产业和城市停车场建设专项债券募集说明书 2016年邵
2016年重庆市合川工业投资（集团）有限公司小微企业增信集合债券募集说明书,2016-04-08,2016 年重庆市合川工业投资（集团）有限公司小微企业增信集合债券募集说明书 I 声明及
2016年齐河县城市经营建设投资有限公司公司债券募集说明书,2016-04-08,2016年齐河县城市经营建设投资有限公司 公司债券募集说明书 （双创孵化专项债券） 发行
2016年广安经济技术开发区恒生投资开发有限公司公司债券募集说明书,2016-04-08,2016年广安经济技术开发区恒生投资开发有限公司公司债券 募集说明书 1 声明及提示 一、
宁夏远高实业集团有限公司公开发行2016年公司债券募集说明书,2016-04-08,宁夏远高实业集团有限公司 公开发行公司债券募集说明书 1-3-1 声明 本募集说明书依据《
2015年寿光市金财公有资产经营有限公司小微企业增信集合债券募集说明书,2016-04-08,2015年寿光市金财公有资产经营有限公司小微企业增信集合债券募集说明书 I 声明及提示
宁夏远高实业集团有限公司公开发行2016年公司债券募集说明书摘要,2016-04-08,宁夏远高实业集团有限公司公开发行 2016 年公司债券募集说明书摘要 1-2-1 声明 本募集
广东恒健投资控股有限公司公开发行2016年公司债券募集说明书（第一期）（面向合格投资者）,2016-04-08,r-*ts~N:~t£ni*T~~0 1§1 03f25t1T 2016 i¥01§11~~ (~-JtJI) ~~i)t.EIJJ~ Ciii
2016年邵阳都梁投资发展有限公司养老产业和城市停车场建设专项债券募集说明书摘要,2016-04-08,2016年邵阳都梁投资发展有限公司养老产业和城市停车场建设专项债券募集说明书摘要 201
广东恒健投资控股有限公司公开发行2016年公司债券募集说明书摘要（第一期）（面向合格投资者）,2016-04-08,广东恒健投资控股有限公司公开发行 2016 年公司债券（第一期）募集说明书摘要（面向合
新疆生产建设兵团第十二师国有资产经营（集团）有限责任公司2016年公司债券募集说明书摘要,2016-04-07,新疆生产建设兵团第十二师 国有资产经营（集团）有限责任公司 （住所：新疆乌鲁木齐市
2016年安庆经济技术开发区建设投资集团有限公司公司债券募集说明书,2016-04-07,2016 年安庆经济技术开发区建设投资集团有限公司 公司债券募集说明书 发行人 主承销商
广西铁路投资集团有限公司2016年公司债券募集说明书摘要,2016-04-07,广西铁路投资集团有限公司 （住所：南宁市青秀区金浦路 33号港务大厦 27层） 公开发行
2016年苏州市恒澄建设发展有限公司公司债券募集说明书,2016-04-07,2016 年苏州市恒澄建设发展有限公司 公司债券募集说明书 发行人 苏州市恒澄建设发展有
广西铁路投资集团有限公司2016年公司债券募集说明书,2016-04-07,广西铁路投资集团有限公司 （住所：南宁市青秀区金浦路 33号港务大厦 27层） 公开发行
新疆生产建设兵团第十二师国有资产经营（集团）有限责任公司2016年公司债券募集说明书,2016-04-07,新疆生产建设兵团第十二师 国有资产经营（集团）有限责任公司 （住所：新疆乌鲁木齐市
厦门象屿集团有限公司公开发行公司债券募集说明书摘要,2016-04-06,厦门象屿集团有限公司 公司债券募集说明书摘要 重要声明 本募集说明书摘要的目的仅为向
2016年第一期贵阳市城市建设投资（集团）有限公司城市停车场建设专项债券募集说明书,2016-04-06,2016 年第一期贵阳市城市建设投资（集团）有限公司城市停车场建设专项债券募集说明书
2016年山东省鲁信投资控股集团有限公司公司债券募集说明书,2016-04-06,I 声明及提示声明及提示声明及提示声明及提示 一一一一、、、、发行发行发行发行人人人
2016年无锡惠开经济发展集团有限公司公司债券募集说明书,2016-04-06,2016年无锡惠开经济发展集团有限公司 公司债券募集说明书 发行人 无锡惠开经济发展集团
2016年仁怀市城市开发建设投资经营有限责任公司公司债券募集说明书摘要,2016-04-06,2016 年仁怀市城市开发建设投资经营有限责任公司公司债券募集说明书摘要 I 声明及提示
2016年仁怀市城市开发建设投资经营有限责任公司公司债券募集说明书,2016-04-06,2016 年仁怀市城市开发建设投资经营有限责任公司公司债券募集说明书 I 声明及提示 一、
厦门象屿集团有限公司2016年公司债券募集说明书,2016-04-06,厦门象屿集团有限公司 公司债券募集说明书 重要声明 本募集说明书依据《中华人民共和国
2016年广元市园区建设投资有限公司公司债券募集说明书,2016-04-05,2016 年广元市园区建设投资有限公司公司债券募集说明书 2016 年广元市园区建设投资有限
漳州市九龙江集团有限公司公开发行2016年公司债券募集说明书,2016-04-05,漳州市九龙江集团有限公司 （住所：漳州市芗城区上街 1 号片仔癀综合大楼 18 层） 公开
2016年重庆经开区开发投资集团有限责任公司公司债券募集说明书,2016-04-05,2016年重庆经开区开发投资集团有限责任公司公司债券募集说明书 i 声明及提示 一、发行
